,제목,저자,출판사,출판일
220,"Preparation of Li_(2)O-AI_(2)O_(3)-4SiO_(2) Glass-Ceramic Monolith from Metal-Alkoxide Solution : 1. Prepation and Properties of Precursor Gel Monoliths, 1. 겔의 합성 및 특성 = 졸-겔법에 의한 Li_(2)O-AI_(2)O_(3)-4SiO_(2) 조성의 괴상겔 및 결정화 유리의 합성","Yang, Joong-Sik",慶熙大學校 材料科學技術硏究所,1988
221,Study on Quantitative Evaluation of Patch Group Prior based Denoising (PGPD) Technique with Artificial Intelligence (AI) for Medical Ultrasound Imaging System = 의료 초음파 영상 시스템 기반 인공지능 (AI)를 활용한 PGPD 노이즈 감소 기법의 정량적 평가에 관한 연구,Youngjin Lee(이영진),대한전자공학회,2016
222,^27AI Pulsed Nuclear Magnetic Resonance Study of LuAI₂ = LuAI₂의 ^27AI 펄스 핵자기공명 연구,"Lee, Moo-Hee",건국대학교,1995
223,A Case Study of AI DEFENSE Applications in Major Northeast Asian States and Strategies for Building a ROK’s AI-based National Defense System,이상수,J-INSTITUTE,2021
224,"An Australian Perspective on AI, Ethics and its Regulatory Challenges",David Lindsay,서울대학교 공익산업법센터,2019
225,A study on Perceptions of Education Using AI in the Post-Corona Era,김성희,고려대학교 응용문화연구소,2021
226,A Conceptual Architecture for Ethic-Friendly AI,Yustus-Eko Oktian,한국컴퓨터정보학회,2022
227,A study on Perceptions of Education Using AI in the Post-Corona Era,Seong Hee KIM,고려대학교 응용문화연구소,2021
228,Interoperability of AI-based Voice Assistants on Consumers Satisfaction,김엘레나,한국경영정보학회,2022
229,The Threat of AI and Our Response: The AI Charter of Ethics in South Korea,"Hwang, Ha",Asian Society for Innovation and Policy,2020
230,The Threat of AI and Our Response: The AI Charter of Ethics in South Korea,황하,아시아기술혁신학회,2020
231,A Study on the Autonomous Decision Right of Emotional AI based on Analysis of 4th Wave Technology Availability in the Hyper-Linkage,Dae-Sung Seo,중소기업융합학회,2019
232,Artificial Intelligence for Breast Cancer Screening in Mammography (AI-STREAM): A Prospective Multicenter Study Design in Korea Using AI-Based CADe/x,장윤우,한국유방암학회,2022
233,The Influence of New Service Means on Customer's Willingness to Buy under the Background of Artificial Intelligence Take the Marketing method of AI medical beauty APP as an example,Xiao-Pei Li(리시아오페이),한국컴퓨터정보학회,2020
234,A statistical approach for detecting AI-assisted cheating in the game of Go,Park Junyeong,한국물리학회,2022
235,Current and Future CONSIDERATIONS for the Use of Artificial Intelligence by the United States’ Department of Defense,최지나,J-INSTITUTE,2021
236,Implications of the Increase of Single Person Households for High-Tech Industries : Focusing on AI Adopted Products,Jae-Yung Cho,중소기업융합학회,2019
237,AI vs. Human : The Effect of Artificial Intelligence-Based Mobile Interventions on Health Behavior Change,Nakyung Kyung,한국경영정보학회,2019
238,AIS Data Visualization for Maritime Spatial Planning (MSP),Michele FIORINI,국제이네비해양경제학회,2016
239,Utilization of Speculative Design for Designing Human-AI Interactions,장석우,한국디자인학회,2022
240,"Spatial pattern of avian influenza (AI) risk using data from routine AI surveillance in the Republic of Korea, 2014–2015",김으뜸,한국예방수의학회,2019
241,Implications of the Increase of Single Person Households for High-Tech Industries: Focusing on AI Adopted Products,조재영,Convergence Society for SMB,2019
242,AIS RF Monitoring Service Using Application Specific Message,Soyoung Hwang,보안공학연구지원센터,2015
243,Design and Implementation of ELAS in AI education (Experiential K-12 AI education Learning Assessment System),문석재,국제문화기술진흥원,2022
244,Implications of AI-based Grammar Checker in EFL Learning and Testing: Korean High School Students’ Writing,박준희,한국영어평가학회,2019
245,Systematic Review for AI-based Language Learning Tools,Jin Ha Woo(우진하),한국디지털콘텐츠학회,2021
246,Legal Challenges to AI･Big Data Utilization,손승우,한국스포츠엔터테인먼트법학회,2019
247,Usability of Texts Written by the AI Text Generator,"Song, Hyowon(송효원)",새한영어영문학회,2020
248,Exploring the Potentials of AI Integration into K-12 Education,홍선주,한국교육정보미디어학회,2021
249,A Study on Identifying Human Factors in Collaboration with the AI-infused Systems,Ismatullaev Ulugbek Vahobjon U,대한인간공학회,2020
250,A Study on the Legal Challenges and Countermeasures to the Medical AI in China,"LEE, JI-HAENG",동아대학교 법학연구소,2021
251,Innovative value chain creation research according to AI jobs,Dae-Sung SEO,한국유통과학회,2020
252,AI-integrated Mobile-assisted Language Learning: Is It an Effective Way of Preparing for the TOEIC Test in Classroom Environments?,김나영,한국영어교육학회,2022
253,"Classification of Passing Vessels Around the Ieodo Ocean Research Station Using Automatic Identification System (AIS) = November 21-30, 2013",Dan-Bee Hong(홍단비),한국해양환경·에너지학회,2014
254,A Study on the Autonomous Decision Right of Emotional AI based on Analysis of 4th Wave Technology Availability in the Hyper-Linkage,서대성,중소기업융합학회,2019
255,Implementation of Communication Network Utilizing AIS Technology,"Park, Soo-Hong",The Korea Institute of Information and Commucation Engineering,2008
256,사용자 요구 기반의 AIS-ASM 표준통신메시지 개발에 관한 연구,최승희,해양환경안전학회,2017
257,"Recent Advances in Artificial Insemination (AI) in Horses: Stallion Management, Processing and Preservation of Semen and Insemination Techniques","Yoon, Minjung",The Korean Society of Embryo Transfer,2013
258,"Recent Advances in Artificial Insemination (AI) in Horses: Stallion Management, Processing and Preservation of Semen and Insemination Techniques",Minjung Yoon,韓國受精卵移植學會,2013
259,"Recent Advances in Artificial Insemination (AI) in Horses: Stallion Management, Processing and Preservation of Semen and Insemination Techniques",윤민중,사단법인 한국동물생명공학회,2013
260,Perceptions of preservice teachers on AI chatbots in English education,양재석,한국인터넷방송통신학회,2022
261,Innovative value chain creation research according to AI jobs,"SEO, Dae-Sung",Korea Distribution Science Association,2020
262,Innovative value chain creation research according to AI jobs,서대성,한국유통과학회,2020
263,Edge AI-based Brain-Computer Interface for Real-time Applications,Henar Mike Canilang,대한인간공학회,2021
264,Comparison of On-Device AI Software Tools,송홍종,국제문화기술진흥원,2022
265,"Linkage Desequilibrium of the apo AI-CⅢ-AⅣ Gene Clust and their Relationship to Plasma Triglyceride, Apolipoprotein AI and CⅢ levels in Koreans","Song, Junghan",Korean Society of Molecular Biology,1998
266,A Study on the Intelligibility of Korean-Accented English: Possibilities of Implementing AI Applications in English Education,정보현,아시아테플,2022
267,AIS-ASM Standardised Communication Message Development Based on Users’ Communication Needs at Sea,최승희,해양환경안전학회,2017
268,English with AI: A new era of TOEIC learning for students majoring in airline services,김나영,경희대학교 언어정보연구소,2022
269,AIS TECHNOLOGY FOR INCREASING THE USABILITY OF LFG FUEL FOR SI ENGINE,Munseok Choe,한국자동차공학회,2022
270,Toward the AI-enabled digital financial services innovation: The role of positive emotional interactions with users,Xi Chen,한국지능정보시스템학회,2022
271,A Study on AI Algorithm that can be used to Arts Exhibition : Focusing on the Development and Evaluation of the Chatbot Model,Hak-Hyeon Choi(최학현),한국엔터테인먼트산업학회,2021
272,"The Meaning of ""Love"" (Ai) in the Analects",김명석,성균관대학교 동아시아학술원,2014
273,Emergence of AI-driven TBP (Technology Business Platform) for Personalized Food,Ki Won Lee,한국식품영양과학회,2021
274,Effectiveness of AI Editing Software for Corrective Feedback in L2 Writing,지난영,한국영어평가학회,2020
275,Generative Linguistics and Corpus Linguistics: Two Paradigms of Language Study and Their Applications to AI,황규홍,한국언어과학회,2022
276,"Ship Monitoring around the Ieodo Ocean Research Station Using FMCW Radar and AIS: November 23-30, 2013",김태호,대한원격탐사학회,2022
277,Analyzing the Differences between Traditional Organization Development Techniques and Appreciative Inquiry(AI),정상철,한국경영교육학회,2014
278,Study on Small Vessel′s Pseudo-AIS Interoperable with Universal AIS,"Park, Jae-Min",Korean Institute of Navigation and Port Research,2003
279,An AI-based English Grammar Checker vs. Human Raters in Evaluating EFL Learners’ Writing,박준희,한국멀티미디어언어교육학회,2019
280,The influence of perceived costs and perceived benefits on AI-driven interactive recommendation agent value,김주란,한국마케팅과학회,2020
281,Reinforcement Learning based Single AI trained from Multi-game,최도헌,(사)한국컴퓨터게임학회,2019
282,Aeronautics Students’ TOEIC Learning through an AI-centered English Course,김나영,한국영어교과교육학회,2022
283,A Study on the Land Cover Classification and Cross Validation of AI-based Aerial Photograph,이성혁,대한원격탐사학회,2022
284,Research on Emotional Factors and Voice Trend by Country to be considered in Designing AI's Voice - An analysis of interview with experts in Finland and Norway,Kiechan Namkung,한국융합학회,2020
285,3D-Brain MRI Segmentation Based on Improved Level Set by AI Rules and Medical Knowledge Combining 3 Classes-EM and Bayesian Method,Nguyen Ho Minh Duy,한국정보기술학회,2016
286,AI-guided Story Generation Framework with Automatic Storyline Generator,Juntae Kim,한국차세대컴퓨팅학회,2022
287,Assessment of greenhouse gas emissions from ships operation at the Port of Incheon using AIS,Sadaqat Khan,한국항만경제학회,2018
288,Association Study between the Genetic Variations of the Apo AI-CIII-AIV Gene Cluster and Hypertension among Koreans,"Kang, Byung-Yong",Korean Society of ToxicologyKorea Environmental Mutagen Society,2002
289,Research on Emotional Factors and Voice Trend by Country to be considered in Designing AI's Voice - An analysis of interview with experts in Finland and Norway,남궁기찬,Korea Convergence Society,2020
290,"Functional Definition of LuxS, an Autoinducer-2 (AI-2) Synthase and Its Role in Full Virulence of Streptococcus suis Serotype 2",Min Cao,한국미생물학회,2011
291,"Future Trends of IoT, 5G Mobile Networks, and AI: Challenges, Opportunities, and Solutions","Park, Ji Su",Korea Information Processing Society,2020
292,AIS application program implementation and test based on IMO Maritime Cloud analysis,이재욱,한국디지털콘텐츠학회,2015
293,AIS application program implementation and test based on IMO Maritime Cloud analysis,Jea-Wook Lee(이재욱),한국디지털콘텐츠학회,2015
294,인간-AI 구별짓기 : 인간을 능가하는 예술가 AI에 대한 반응을 중심으로,사영준,한국소통학회,2021
295,Application of AI-based Customer Segmentation in the Insurance Industry,염경민,한국경영정보학회,2022
296,A Proposed AI-based Library Usage Management in Smart Universities,Anh-Thuan Tran,한국경영정보학회,2021
297,Comparison of AI-algorithm Performance for Predictive Kinetic Facade Operation - Machine-learning surrogates of indoor daylight and glare simulation,"Mollaeiubli, Takhmasib(타크마십)",대한건축학회,2022
298,Understanding Passengers’ Perceived Safety and Quality of Journey in AI-based Self-Driving Taxi Services,Siew Fan Wong,한국경영정보학회,2021
299,Design of 2 Wheels Driving Robot Direction Control Based on AI,Rodi Hartono(허르토노 로디),대한전자공학회,2022
